company_id,metric_key,fiscal_year,period_end,value,unit,scope,accounting_standard,availability,source_id,note
recruit-holdings,revenue,2022,2022-03-31,2871705000000,JPY,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RevenueIFRSSummaryOfBusinessResults; context_id=Prior3YearDuration
recruit-holdings,revenue,2023,2023-03-31,3429519000000,JPY,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RevenueIFRSSummaryOfBusinessResults; context_id=Prior2YearDuration
recruit-holdings,revenue,2024,2024-03-31,3416492000000,JPY,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RevenueIFRSSummaryOfBusinessResults; context_id=Prior1YearDuration
recruit-holdings,revenue,2025,2025-03-31,3557478000000,JPY,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RevenueIFRSSummaryOfBusinessResults; context_id=CurrentYearDuration
recruit-holdings,revenue,2026,2026-03-31,3697351000000,JPY,consolidated,IFRS,reported,edinet-s100ydhl,element_id=jpcrp_cor:RevenueIFRSSummaryOfBusinessResults; context_id=CurrentYearDuration
recruit-holdings,equity_ratio,2022,2022-03-31,56.3,percent,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults; context_id=Prior3YearInstant
recruit-holdings,equity_ratio,2023,2023-03-31,58.2,percent,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults; context_id=Prior2YearInstant
recruit-holdings,equity_ratio,2024,2024-03-31,63.6,percent,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults; context_id=Prior1YearInstant
recruit-holdings,equity_ratio,2025,2025-03-31,58.3,percent,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults; context_id=CurrentYearInstant
recruit-holdings,equity_ratio,2026,2026-03-31,56.8,percent,consolidated,IFRS,reported,edinet-s100ydhl,element_id=jpcrp_cor:RatioOfOwnersEquityToGrossAssetsIFRSSummaryOfBusinessResults; context_id=CurrentYearInstant
recruit-holdings,operating_cf,2022,2022-03-31,439610000000,JPY,consolidated,IFRS,reported,edinet-s100vzg5,element_id=jpcrp_cor:CashFlowsFromUsedInOperatingActivitiesIFRSSummaryOfBusinessResults; context_id=Prior3YearDuration
