company_id,fiscal_year,segment_id,segment_name,description,revenue,segment_profit,profit_measure,currency,unit,availability,source_id,note
recruit-holdings,2026,hr-technology,HRテクノロジー事業,,1454440000000,549995000000,EBITDA+S,JPY,JPY,reported,edinet-s100ydhl,
recruit-holdings,2026,staffing,人材派遣事業,,1679327000000,99744000000,EBITDA+S,JPY,JPY,reported,edinet-s100ydhl,
recruit-holdings,2026,marketing-matching-technologies,マーケティング・マッチング・テクノロジー事業,,563584000000,154976000000,EBITDA+S,JPY,JPY,reported,edinet-s100ydhl,
recruit-holdings,2025,hr-technology,HRテクノロジー事業,,1368902000000,452818000000,EBITDA+S,JPY,JPY,reported,edinet-s100ydhl,
recruit-holdings,2025,staffing,人材派遣事業,,1641385000000,97422000000,EBITDA+S,JPY,JPY,reported,edinet-s100ydhl,
recruit-holdings,2025,marketing-matching-technologies,マーケティング・マッチング・テクノロジー事業,,538662000000,137180000000,EBITDA+S,JPY,JPY,reported,edinet-s100ydhl,
ly-corporation,2026,media,メディア事業,,729339000000,210838000000,営業利益,JPY,JPY,reported,edinet-s100ybxd,
ly-corporation,2026,commerce,コマース事業,,854892000000,87390000000,営業利益,JPY,JPY,reported,edinet-s100ybxd,
ly-corporation,2026,strategy,戦略事業,,442277000000,68424000000,営業利益,JPY,JPY,reported,edinet-s100ybxd,
ly-corporation,2025,media,メディア事業,,724901000000,218970000000,営業利益,JPY,JPY,reported,edinet-s100ybxd,
ly-corporation,2025,commerce,コマース事業,,846293000000,104196000000,営業利益,JPY,JPY,reported,edinet-s100ybxd,
ly-corporation,2025,strategy,戦略事業,,339870000000,33307000000,営業利益,JPY,JPY,reported,edinet-s100ybxd,
cyberagent,2025,media-and-ip,メディア&IP事業,,217164000000,7291000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2025,internet-advertising,インターネット広告事業,,438811000000,17602000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2025,game,ゲーム事業,,216391000000,60063000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2025,investment-development,投資育成事業,,1663000000,-1515000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2024,media-and-ip,メディア&IP事業,,186223000000,-1448000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2024,internet-advertising,インターネット広告事業,,413022000000,20457000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2024,game,ゲーム事業,,195648000000,30569000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
cyberagent,2024,investment-development,投資育成事業,,6342000000,426000000,営業利益,JPY,JPY,reported,edinet-s100xcu9,
dena,2026,game,ゲーム事業,,64176000000,29656000000,セグメント利益,JPY,JPY,reported,edinet-s100yldv,
