company_id,industry_id
recruit-holdings,mega-venture
ly-corporation,mega-venture
mercari,mega-venture
cyberagent,mega-venture
dena,mega-venture
ntt-data-group,sier
scsk,sier
ntt,telecommunications
softbank,telecommunications
kddi,telecommunications
fujitsu,sier
nec,sier
hitachi,sier
nri,consulting
nri,sier
tis,sier
biprogy,sier
gmo-internet,mega-venture
mixi,mega-venture
kakaku-com,mega-venture
rakuten-group,mega-venture
rakuten-group,telecommunications
dmm,mega-venture
obic,sier
sakana-ai,venture
preferred-networks,venture
fixstars,venture
cyberagent,game
dena,game
mixi,game
gree,game
nintendo,game
takara-tomy,game
bandai-namco,game
capcom,game
konami,game
square-enix,game
sega-sammy,game
koei-tecmo,game
sony-group,electronics
panasonic-holdings,electronics
renesas-electronics,semiconductor
keyence,electronics
toyota-motor,automotive
honda-motor,automotive
nissan-motor,automotive
mazda-motor,automotive
suzuki-motor,automotive
subaru,automotive
mitsubishi-motors,automotive
isuzu-motors,automotive
hino-motors,automotive
yamaha-motor,automotive
rohm,semiconductor
tokyo-seimitsu,semiconductor
screen-holdings,semiconductor
kioxia,semiconductor
taiyo-yuden,semiconductor
tokyo-electron,semiconductor
advantest,semiconductor
disco,semiconductor
lasertec,semiconductor
shin-etsu-chemical,semiconductor
sumco,semiconductor
resonac-holdings,semiconductor
agc,semiconductor
stella-chemifa,semiconductor
mitsubishi-heavy-industries,heavy-industry
kawasaki-heavy-industries,heavy-industry
ihi,heavy-industry
sumitomo-heavy-industries,heavy-industry
mitsui-e-and-s,heavy-industry
kanadevia,heavy-industry
aws-japan,infrastructure
toto,housing-equipment
toto,semiconductor
kyocera,electronics
kyocera,semiconductor
toshiba,electronics
hitachi,heavy-industry
