company_id,industry_id
recruit-holdings,mega-venture
ly-corporation,mega-venture
mercari,mega-venture
cyberagent,mega-venture
dena,mega-venture
ntt-data-group,sier
scsk,sier
ntt,telecommunications
softbank,telecommunications
kddi,telecommunications
fujitsu,sier
nec,sier
hitachi,sier
nri,sier
tis,sier
biprogy,sier
gmo-internet,mega-venture
mixi,mega-venture
kakaku-com,mega-venture
gree,mega-venture
obic,sier
nri,consulting
sakana-ai,venture
preferred-networks,venture
fixstars,venture
cyberagent,game
dena,game
mixi,game
gree,game
nintendo,game
takara-tomy,game
bandai-namco,game
capcom,game
konami,game
square-enix,game
sega-sammy,game
koei-tecmo,game
sony-group,semiconductor
panasonic-holdings,semiconductor
renesas-electronics,semiconductor
keyence,semiconductor
toyota-motor,semiconductor
rohm,semiconductor
tokyo-seimitsu,semiconductor
screen-holdings,semiconductor
kioxia,semiconductor
taiyo-yuden,semiconductor
tokyo-electron,semiconductor
advantest,semiconductor
disco,semiconductor
lasertec,semiconductor
shin-etsu-chemical,semiconductor
sumco,semiconductor
resonac-holdings,semiconductor
agc,semiconductor
stella-chemifa,semiconductor
